Series ID,Year,Period,Label,Value
LNU04000000,2015,M01,2015 Jan,6.1
LNU04000000,2015,M02,2015 Feb,5.8
LNU04000000,2015,M03,2015 Mar,5.6
LNU04000000,2015,M04,2015 Apr,5.1
LNU04000000,2015,M05,2015 May,5.3
LNU04000000,2015,M06,2015 Jun,5.5
LNU04000000,2015,M07,2015 Jul,5.6
LNU04000000,2015,M08,2015 Aug,5.2
LNU04000000,2015,M09,2015 Sep,4.9
LNU04000000,2015,M10,2015 Oct,4.8
LNU04000000,2015,M11,2015 Nov,4.8
LNU04000000,2015,M12,2015 Dec,4.8
LNU04000000,2016,M01,2016 Jan,5.3
LNU04000000,2016,M02,2016 Feb,5.2
LNU04000000,2016,M03,2016 Mar,5.1
LNU04000000,2016,M04,2016 Apr,4.7
LNU04000000,2016,M05,2016 May,4.5
LNU04000000,2016,M06,2016 Jun,5.1
LNU04000000,2016,M07,2016 Jul,5.1
LNU04000000,2016,M08,2016 Aug,5
LNU04000000,2016,M09,2016 Sep,4.8
LNU04000000,2016,M10,2016 Oct,4.7
LNU04000000,2016,M11,2016 Nov,4.4
LNU04000000,2016,M12,2016 Dec,4.5
LNU04000000,2017,M01,2017 Jan,5.1
LNU04000000,2017,M02,2017 Feb,4.9
LNU04000000,2017,M03,2017 Mar,4.6
LNU04000000,2017,M04,2017 Apr,4.1
LNU04000000,2017,M05,2017 May,4.1
LNU04000000,2017,M06,2017 Jun,4.5
LNU04000000,2017,M07,2017 Jul,4.6
LNU04000000,2017,M08,2017 Aug,4.5
LNU04000000,2017,M09,2017 Sep,4.1
LNU04000000,2017,M10,2017 Oct,3.9
LNU04000000,2017,M11,2017 Nov,3.9
LNU04000000,2017,M12,2017 Dec,3.9
LNU04000000,2018,M01,2018 Jan,4.5
LNU04000000,2018,M02,2018 Feb,4.4
LNU04000000,2018,M03,2018 Mar,4.1